City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Mount Isa,AU,2021-09-21 21:41:26,-20.7333,139.5,53.37,20,43,17.27
153,Tacna,PE,2021-09-21 21:41:27,-18.0056,-70.2483,61.0,67,40,11.5
154,Bin Qirdan,TN,2021-09-21 21:41:27,33.1378,11.2197,80.15,76,9,7.11
155,Shelburne,CA,2021-09-21 21:39:26,44.0787,-80.2041,70.29,83,97,13.51
156,Narodychi,UA,2021-09-21 21:41:27,51.2029,29.0823,42.53,87,100,12.26
157,Morro Bay,US,2021-09-21 21:41:28,35.3658,-120.8499,101.75,50,21,5.99
158,Volosovo,RU,2021-09-21 21:41:28,59.4333,29.4833,43.36,86,100,7.11
159,Ekhabi,RU,2021-09-21 21:41:28,53.5102,142.9671,47.44,72,19,3.6
160,Havre-Saint-Pierre,CA,2021-09-21 21:41:28,50.2334,-63.5986,61.16,67,1,5.75
161,Madimba,TZ,2021-09-21 21:41:29,-10.4,40.3333,72.41,87,0,4.7
162,Bontang,ID,2021-09-21 21:41:29,0.1333,117.5,74.16,91,96,5.28
163,Tuatapere,NZ,2021-09-21 21:39:49,-46.1333,167.6833,49.82,67,13,3.58
164,Hithadhoo,MV,2021-09-21 21:41:29,-0.6,73.0833,82.63,76,100,16.44
165,Tiksi,RU,2021-09-21 21:41:30,71.6872,128.8694,34.03,70,100,3.11
166,Huancabamba,PE,2021-09-21 21:41:30,-5.2386,-79.4506,63.32,80,94,1.43
167,Taybad,IR,2021-09-21 21:41:30,34.74,60.7756,67.33,30,0,10.83
168,Terrace,CA,2021-09-21 21:41:30,54.5163,-128.6035,55.31,94,90,18.41
169,Plainview,US,2021-09-21 21:41:31,40.7765,-73.4673,75.79,78,75,1.99
170,Chicama,PE,2021-09-21 21:41:31,-7.8447,-79.1469,61.34,73,31,8.77
171,Urambo,TZ,2021-09-21 21:41:31,-5.0667,32.05,78.87,29,84,5.44
172,Flin Flon,CA,2021-09-21 21:41:31,54.7682,-101.865,60.64,44,90,5.75
173,Biltine,TD,2021-09-21 21:41:32,14.5333,20.9167,87.6,44,69,6.44
174,Athabasca,CA,2021-09-21 21:41:32,54.7169,-113.2854,73.81,31,66,12.15
175,Arraial Do Cabo,BR,2021-09-21 21:41:32,-22.9661,-42.0278,73.36,88,75,25.32
176,Hobyo,SO,2021-09-21 21:41:32,5.3505,48.5268,77.23,79,24,21.14
177,Ndjole,GA,2021-09-21 21:41:33,-0.1783,10.7649,74.97,91,100,3.15
178,Haines Junction,CA,2021-09-21 21:41:33,60.7522,-137.5108,33.75,86,100,9.22
179,Khandbari,NP,2021-09-21 21:41:33,27.3747,87.2039,67.26,86,34,3.47
180,Xinxiang,CN,2021-09-21 21:41:34,35.3089,113.8672,68.7,59,10,3.33
181,East London,ZA,2021-09-21 21:41:34,-33.0153,27.9116,59.22,61,98,3.13
182,Douglasville,US,2021-09-21 21:41:34,33.7515,-84.7477,81.88,83,89,6.04
183,Noormarkku,FI,2021-09-21 21:41:34,61.5927,21.8685,31.78,93,0,2.3
184,Goderich,CA,2021-09-21 21:41:35,43.7501,-81.7165,71.91,88,95,12.66
185,Bambous Virieux,MU,2021-09-21 21:40:34,-20.3428,57.7575,70.05,68,40,11.5
186,Nanortalik,GL,2021-09-21 21:41:35,60.1432,-45.2371,35.24,86,93,9.75
187,Portland,US,2021-09-21 21:40:51,45.5234,-122.6762,86.77,34,75,1.99
188,Imeni Poliny Osipenko,RU,2021-09-21 21:41:35,52.4201,136.4853,39.7,75,40,8.3
189,Codrington,AU,2021-09-21 21:40:06,-38.2667,141.9667,52.38,93,100,7.27
190,Ancud,CL,2021-09-21 21:41:27,-41.8697,-73.8203,60.33,78,0,4.34
191,Chimore,BO,2021-09-21 21:41:36,-16.9833,-65.1333,83.62,50,79,3.0
192,Hidalgo,MX,2021-09-21 21:41:36,20.5,-99.0,74.95,51,10,13.15
193,Lorengau,PG,2021-09-21 21:41:36,-2.0226,147.2712,82.13,76,100,6.06
194,Salinopolis,BR,2021-09-21 21:41:36,-0.6136,-47.3561,80.67,76,53,14.29
195,Mar Del Plata,AR,2021-09-21 21:38:06,-38.0023,-57.5575,48.15,71,0,7.54
196,Shimoda,JP,2021-09-21 21:41:37,34.6667,138.95,75.31,87,87,3.27
197,Tuktoyaktuk,CA,2021-09-21 21:41:37,69.4541,-133.0374,37.4,65,90,14.97
198,Pisco,PE,2021-09-21 21:41:38,-13.7,-76.2167,66.25,72,0,19.57
199,Sibolga,ID,2021-09-21 21:41:38,1.7427,98.7792,74.84,83,78,3.22
200,Kamenka,RU,2021-09-21 21:41:38,51.3223,42.7678,49.6,85,85,2.8
201,Saint-Paul,RE,2021-09-21 21:41:38,-21.0096,55.2707,66.31,74,0,2.01
202,Yerbogachen,RU,2021-09-21 21:41:39,61.2767,108.0108,32.36,95,70,3.4
203,Katsuura,JP,2021-09-21 21:41:20,35.1333,140.3,69.91,90,100,5.64
204,Pevek,RU,2021-09-21 21:38:59,69.7008,170.3133,26.28,84,82,9.35
205,Kloulklubed,PW,2021-09-21 21:41:39,7.0419,134.2556,77.5,75,100,5.84
206,San Patricio,US,2021-09-21 21:41:39,28.017,-97.5169,93.88,46,4,13.98
207,Camapua,BR,2021-09-21 21:41:40,-19.5314,-54.0439,90.75,16,5,6.15
208,Viedma,AR,2021-09-21 21:41:40,-40.8135,-62.9967,61.14,33,0,12.55
209,Staroaleyskoye,RU,2021-09-21 21:41:40,51.0061,82.0,34.36,93,90,2.35
210,Norman Wells,CA,2021-09-21 21:41:40,65.282,-126.8329,48.24,61,75,12.66
211,Tecoanapa,MX,2021-09-21 21:41:41,16.5167,-98.75,85.39,69,52,8.37
212,Joensuu,FI,2021-09-21 21:41:41,62.6012,29.7632,36.09,85,0,5.75
213,Kutum,SD,2021-09-21 21:41:41,14.2,24.6667,83.53,35,97,6.04
214,Dossor,KZ,2021-09-21 21:41:42,47.5272,52.9811,61.81,43,74,16.55
215,Amapa,BR,2021-09-21 21:41:42,1.0,-52.0,72.91,98,87,1.48
216,Victoria,HK,2021-09-21 21:41:42,22.2855,114.1577,84.33,86,98,1.01
217,Port Moresby,PG,2021-09-21 21:41:42,-9.4431,147.1797,76.42,94,75,3.44
218,Ler,SS,2021-09-21 21:41:43,8.3018,30.1418,68.38,98,98,3.62
219,Marsabit,KE,2021-09-21 21:41:43,2.3284,37.9899,66.07,62,14,22.06
220,Cagliari,IT,2021-09-21 21:41:43,39.245,9.0912,71.78,78,0,3.44
221,Casamassima,IT,2021-09-21 21:41:44,40.9571,16.9204,69.75,74,16,1.01
222,Mariental,NA,2021-09-21 21:41:44,-24.6333,17.9667,61.27,18,5,11.9
223,Churapcha,RU,2021-09-21 21:41:44,62.0025,132.4325,33.69,86,0,3.94
224,Cherskiy,RU,2021-09-21 21:41:44,68.75,161.3,29.88,56,100,5.86
225,Hambantota,LK,2021-09-21 21:41:45,6.1241,81.1185,78.98,84,66,14.88
226,Mamallapuram,IN,2021-09-21 21:41:45,12.6264,80.1722,77.05,74,88,12.57
227,Ginda,IN,2021-09-21 21:41:45,30.6945,78.4932,60.08,89,33,3.65
228,West Bay,KY,2021-09-21 21:41:45,19.3667,-81.4167,89.08,72,7,1.99
229,Garowe,SO,2021-09-21 21:41:46,8.4054,48.4845,76.59,62,96,25.39
230,Rzhaksa,RU,2021-09-21 21:41:46,52.1338,42.0264,48.13,89,98,3.47
231,Souillac,MU,2021-09-21 21:41:46,-20.5167,57.5167,70.18,68,40,11.5
232,Nandurbar,IN,2021-09-21 21:41:46,21.3667,74.25,75.6,90,99,11.5
233,Saint-Pierre,RE,2021-09-21 21:41:47,-21.3393,55.4781,65.88,59,20,6.91
234,Ukiah,US,2021-09-21 21:39:08,39.1502,-123.2078,99.45,15,1,10.36
235,Ixtapa,MX,2021-09-21 21:41:01,20.7,-105.2,89.22,71,38,5.99
236,Kruisfontein,ZA,2021-09-21 21:41:47,-34.0033,24.7314,48.88,89,21,4.32
237,Komsomolskiy,UZ,2021-09-21 21:41:47,40.4272,71.7189,63.32,45,0,6.91
238,Touros,BR,2021-09-21 21:41:48,-5.1989,-35.4608,79.7,82,17,12.26
239,Severo-Yeniseyskiy,RU,2021-09-21 21:41:48,60.3725,93.0408,31.14,99,100,1.61
240,Copiapo,CL,2021-09-21 21:41:48,-27.3667,-70.3333,56.89,47,73,6.89
241,Manaure,CO,2021-09-21 21:41:49,11.7751,-72.4445,88.36,60,94,9.98
242,Los Llanos De Aridane,ES,2021-09-21 21:41:49,28.6585,-17.9182,71.35,85,90,13.8
243,Coihaique,CL,2021-09-21 21:41:49,-45.5752,-72.0662,66.81,42,0,5.75
244,Santa Cruz Cabralia,BR,2021-09-21 21:41:49,-16.2781,-39.0247,79.03,78,0,12.66
245,Huangchuan,CN,2021-09-21 21:41:50,32.1272,115.0394,71.24,87,5,7.58
246,Nemuro,JP,2021-09-21 21:41:50,43.3236,145.575,61.52,94,78,18.97
247,Ust-Kuyga,RU,2021-09-21 21:41:50,70.0167,135.6,34.43,76,100,5.53
248,Robertsport,LR,2021-09-21 21:41:51,6.7533,-11.3686,80.28,81,97,8.16
249,Mitsamiouli,KM,2021-09-21 21:41:51,-11.3847,43.2844,75.94,73,0,3.89
250,Quatre Cocos,MU,2021-09-21 21:40:37,-20.2078,57.7625,69.91,73,11,11.95
251,Alofi,NU,2021-09-21 21:41:51,-19.0595,-169.9187,78.69,83,75,6.91
252,Pietarsaari,FI,2021-09-21 21:41:51,63.65,22.6833,42.89,84,13,8.23
253,Hovd,MN,2021-09-21 21:41:52,48.0056,91.6419,43.21,31,0,3.8
254,Novikovo,RU,2021-09-21 21:41:52,51.1537,37.8879,47.48,77,100,6.31
255,Forio,IT,2021-09-21 21:41:52,40.7342,13.8646,73.42,75,100,8.99
256,Bongandanga,CD,2021-09-21 21:41:53,1.5,21.05,70.47,98,99,2.46
257,Bambanglipuro,ID,2021-09-21 21:41:53,-7.95,110.2833,74.12,87,94,1.97
258,Springbok,ZA,2021-09-21 21:41:53,-29.6643,17.8865,59.32,10,8,13.4
259,Ulaanbaatar,MN,2021-09-21 21:41:54,47.9077,106.8832,35.73,87,0,0.0
260,Sept-Iles,CA,2021-09-21 21:41:54,50.2001,-66.3821,61.32,86,75,3.0
