City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
424,Oistins,BB,89.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
425,Gizo,SB,80.01,overcast clouds,-8.103,156.8419,Imagination Island
427,Timbiqui,CO,76.32,moderate rain,2.7717,-77.6654,hotel diana
428,Harper,LR,81.16,light rain,4.375,-7.7169,Screensaver
435,Sabang,ID,83.01,overcast clouds,5.8933,95.3214,Hotel Citra
439,Natagaima,CO,82.67,overcast clouds,3.6206,-75.0941,Hotel El Gran Palacio- Nury
441,Panaba,MX,87.46,scattered clouds,21.2833,-88.2667,Posada rosario
444,Kishi,NG,78.96,moderate rain,9.0833,3.85,New NCCF KISI
446,Nouadhibou,MR,76.98,sand,20.931,-17.0347,El Medina
450,Maitum,PH,77.27,broken clouds,6.0392,124.4986,Pearl Garden
451,Havelock,US,82.35,broken clouds,34.8791,-76.9013,Sherwood Motel
456,Dhadar,IN,80.33,light rain,28.3305,75.0632,ढाढर
458,Forio,IT,78.3,clear sky,40.7342,13.8646,Hotel Terme Providence
464,Luanda,AO,75.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
465,Mahajanga,MG,80.62,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
467,Arucas,ES,75.97,scattered clouds,28.1198,-15.5233,Hotel Melva Suite
468,Tual,ID,79.5,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
478,Siniscola,IT,78.35,broken clouds,40.5719,9.6922,Hotel Sa Tanca E Bore
479,Bontang,ID,80.49,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
483,Bagepalli,IN,75.54,overcast clouds,13.7847,77.7931,Naydu hotel
485,Puerto Carreno,CO,87.13,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
486,Caala,AO,85.53,overcast clouds,-12.8525,15.5606,Adymuzik Oficial
489,Mansa,IN,75.36,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
491,Mineral Wells,US,78.51,clear sky,32.8085,-98.1128,The Baker Hotel and Spa
496,Las Vegas,US,83.68,clear sky,36.175,-115.1372,Plaza Hotel & Casino
497,Coahuayana,MX,86.92,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
499,Chabahar,IR,82.56,few clouds,25.2919,60.643,هتل گدروشیا
501,Ankazoabo,MG,78.26,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
503,Lamar,US,77.52,clear sky,33.6668,-95.5836,Kings Inn Paris TX
504,Reconquista,AR,76.96,scattered clouds,-29.15,-59.65,Grand Hotel
505,Santa Isabel Do Rio Negro,BR,89.35,overcast clouds,-0.4139,-65.0192,Hotel GSA
510,Maan,PH,78.96,scattered clouds,5.9339,124.7356,lola glo resort
511,Kontagora,NG,82.71,overcast clouds,10.3999,5.4695,Queens Guest Inn
515,Boyolangu,ID,75.78,overcast clouds,-8.1181,111.8935,Yos ega cv
518,Mmathubudukwane,BW,81.46,clear sky,-24.6,26.4333,Gill Sleepover Guesthouse
519,Puerto Ayacucho,VE,83.79,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
520,Barinas,VE,84.54,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
525,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
528,Valle Hermoso,MX,78.94,clear sky,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
531,San Miguel,SV,85.5,overcast clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
532,San Angelo,US,75.58,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
534,Karwar,IN,77.04,overcast clouds,14.8,74.1333,Netalco Connects
537,Machico,PT,76.28,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
541,Yingcheng,CN,86.05,light rain,30.95,113.55,Yingcheng Hotel
542,Vaitape,PF,77.16,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
544,Badiraguato,MX,83.7,clear sky,25.3667,-107.5167,"Hotel ""Real Del Campo"""
548,Yajalon,MX,79.95,broken clouds,17.2333,-92.3333,Tortilleria san miguel
550,Odweyne,SO,78.94,broken clouds,9.4092,45.064,Eng Hiirey House
551,Pericos,MX,86.36,clear sky,25.05,-107.7,CASA AARON CAMACHO VILLARREAL
552,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
553,Valenza,IT,76.06,overcast clouds,45.0141,8.6414,Terme di Monte Valenza
557,Ukiah,US,84.04,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
561,Muleba,TZ,75.47,scattered clouds,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
573,Tezu,IN,75.9,clear sky,27.9167,96.1667,Circuit House
576,Buta,CD,76.84,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
579,Nikki,BJ,78.91,light rain,9.9401,3.2108,Hotel John
584,Birjand,IR,79.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
589,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
591,Leticia,CO,77.05,overcast clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
596,Tikrit,IQ,89.96,clear sky,34.6071,43.6782,عماره العبطه
599,Vila Do Maio,CV,86.79,broken clouds,15.1333,-23.2167,Hotel Marilu
600,Gushikawa,JP,79.83,few clouds,26.3544,127.8686,Kirari Guest House
602,Mundi,IN,78.39,scattered clouds,22.0667,76.5,TIWARI NIWAS
603,Hobyo,SO,78.03,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
608,Port Hawkesbury,CA,75.09,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
610,Luganville,VU,76.87,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
616,Shimoda,JP,75.61,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
618,Bodden Town,KY,89.01,few clouds,19.2833,-81.25,Will T Place
622,Rodrigues Alves,BR,84.4,overcast clouds,-7.738,-72.6509,Pousada Aconchego
625,Lazaro Cardenas,MX,83.23,clear sky,17.9583,-102.2,quinta antigua
628,Gilbert,US,88.95,clear sky,33.3528,-111.789,Mercy Housing - Page Commons
632,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
633,Sabzevar,IR,87.08,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
634,Turayf,SA,80.85,clear sky,31.6725,38.6637,Turaif
